Country,GDP,Inflation Rate,Unemployment Rate,Interest Rate,Exchange Rate,Stock Market Index,Labor Force Participation Rate,Government Debt,Trade Balance
Russia,Ruble,6.15,19.02,13.58,9.8533,2187.73,47.71,Krona,Dollar
Venezuela,Bolivar,0.43,17.36,3.06,7.8197,480.04,16.62,Rupiah,Yuan Renminbi
Guatemala,Quetzal,-4.27,15.43,15.86,4.1228,9286.42,40.61,Yuan Renminbi,Yuan Renminbi
Indonesia,Rupiah,0.02,29.33,15.53,7.8288,1602.95,53.26,Euro,Yuan Renminbi
Kosovo,Euro,6.17,13.63,13.94,9.3198,1874.36,93.15,Yuan Renminbi,Yuan Renminbi
China,Yuan Renminbi,2.71,22.03,10.16,5.5738,2260.96,5.82,Yuan Renminbi,Real
Russia,Ruble,0.51,28.25,13.45,5.1313,5641.82,22.13,Euro,Franc
China,Yuan Renminbi,-5.74,7.3,19.09,7.2344,7581.99,96.01,Krona,Ruble
Canada,Dollar,5.2,14.07,16.83,0.9599,3332.98,67.28,Peso,Kina
Costa Rica,Colon,2.87,16.92,15.16,5.6748,8426.22,3.52,Dirham,Krona
Peru,Sol,-7.89,10.34,10.57,9.9501,6865.15,93.8,Ruble,Euro
Brazil,Real,-1.47,14.11,16.96,8.2715,6377.06,26.01,Yuan Renminbi,Zloty
Ireland,Euro,3.18,14.8,19.28,5.53,1810.5,56.87,Dollar,Rupiah
China,Yuan Renminbi,-5.48,16.62,0.13,0.0138,8698.88,54.92,Yuan Renminbi,Real
Russia,Ruble,-6.13,21.73,7.79,4.1591,7512.87,21.42,Euro,Hryvnia
Czech Republic,Koruna,-0.03,16.7,13.44,2.9924,2852.33,23.76,Rupiah,Yuan Renminbi
Indonesia,Rupiah,-4.93,3.1,10.54,2.8789,2571.04,55.45,Litas,Shilling
Poland,Zloty,-5.08,11.74,0.62,6.2338,4193.11,99.98,Rupiah,Peso
China,Yuan Renminbi,2.61,25.06,11.38,9.6274,761.81,67.8,Zloty,Yen
Poland,Zloty,3.68,27.95,3.76,7.1731,6084.2,85.87,Euro,Quetzal
Russia,Ruble,5.38,4.18,16.62,8.2901,5488.46,31.82,Rand,Metical
Sweden,Krona,-4.65,5.45,18.38,5.484,8463.22,25.87,Euro,Euro
Uzbekistan,Som,-6.38,27.89,19.32,6.6987,593.22,32.59,Rupiah,Yuan Renminbi
Lithuania,Litas,-8.7,17.15,4.4,3.2558,8227.47,24.26,Hryvnia,Rupiah
South Africa,Rand,-3.35,8.52,16.51,2.6885,1093.96,9.31,Rupiah,Peso
Zambia,Kwacha,-6.4,7.89,5.81,4.7982,3617.17,60.28,Yen,Yen
Cuba,Peso,-3.39,7.4,17.67,6.2937,7807.5,75.39,Krona,Rufiyaa
Honduras,Lempira,5.57,16.86,14.7,6.043,1120.03,0.6,Yuan Renminbi,Yen
United States,Dollar,-8.84,17.15,11.36,6.8559,8977.46,18.56,Dollar,Rupiah
Poland,Zloty,7.09,18.46,6.16,9.9655,5684.89,15.84,Rupiah,Gourde
Mozambique,Metical,4.43,6.45,18.05,6.049,1942.05,62.1,Rupiah,Peso
Thailand,Baht,0.3,28.23,16.55,3.4275,4642.8,42.46,Sol,Ruble
Czech Republic,Koruna,4.93,8.66,4.57,6.5182,386.51,90.32,Real,Colon
Portugal,Euro,1.62,22.14,11.11,6.7197,5570.14,60.94,Yuan Renminbi,Pa'anga
Sweden,Krona,-6.45,11.99,18.87,9.1264,3780.68,10.1,Yuan Renminbi,Dollar
Portugal,Euro,6.34,2.36,12.23,1.9545,7488.02,34.55,Rial,Shekel
China,Yuan Renminbi,-7.29,10.29,12.83,9.1977,4289.24,26.8,Dollar,Peso
Indonesia,Rupiah,9.12,16.47,9.87,5.8553,6833.21,6.8,Euro,Yuan Renminbi
Madagascar,Ariary,-7.77,15.75,18.51,0.6612,8080.62,62.01,Yuan Renminbi,Euro
United States,Dollar,2.55,7.27,7.83,1.3791,8365.56,96.06,Ringgit,Forint
Belarus,Ruble,9.45,17.05,0.43,1.594,5534.65,3.42,Yuan Renminbi,Peso
Malta,Euro,-6.83,10.31,4.53,9.3905,3457.39,31.27,Koruna,Naira
Burkina Faso,Franc,5.05,7.67,0.37,9.7959,6984.15,87.35,Dollar,Krona
Tuvalu,Dollar,-0.36,0.84,17.8,2.8934,4645.19,42.13,Krona,Dollar
Russia,Ruble,-6.79,16.52,17.41,4.7791,5718.52,31.51,Yuan Renminbi,Yuan Renminbi
Poland,Zloty,-8.82,8.24,8.53,2.9068,8649.47,96.67,Yuan Renminbi,Dollar
Czech Republic,Koruna,1.36,28.39,14.34,7.6717,6071.92,39.15,Yuan Renminbi,Peso
Philippines,Peso,-2.24,23.65,17.57,9.4032,8111.55,63.15,Rupiah,Bolivar
Lithuania,Litas,3.59,10.28,5.69,0.7931,7247.87,92.03,Yuan Renminbi,Euro
Russia,Ruble,-0.87,24.48,5.74,2.8946,1609.93,13.74,Hryvnia,Rupee
Indonesia,Rupiah,-2.75,5.24,14.81,6.9408,8870.76,58.3,Naira,Ruble
China,Yuan Renminbi,-8.45,10.49,17.05,6.4385,634.02,97.99,Ruble,Yuan Renminbi
China,Yuan Renminbi,-9.17,9.04,14.8,7.0311,1530.32,58.39,Krone,Euro
Czech Republic,Koruna,7.82,16.83,11.57,4.9208,9655.18,57.25,Euro,Euro
Peru,Sol,3.34,24.88,2.11,8.5621,8434.28,45.48,Yuan Renminbi,Ruble
Portugal,Euro,8.62,17.77,15.34,6.7051,7563.62,21.46,Hryvnia,Dong
Portugal,Euro,0.09,14.15,7.51,1.6259,4317.08,21.83,Dinar,Zloty
Poland,Zloty,-9.61,25.05,3.57,8.3192,7854.62,50.73,Dollar,Denar
Poland,Zloty,-4.46,17.23,11.21,6.3054,9388.04,38.79,Peso,Ruble
Indonesia,Rupiah,1.01,28.62,3.62,9.7937,2421.62,50.84,Ruble,Rupiah
Philippines,Peso,6.2,21.7,11.59,0.2091,4682.78,39.69,Peso,Euro
Croatia,Kuna,7.09,13.85,6.02,7.6665,3273.69,72.73,Yuan Renminbi,Yuan Renminbi
Macedonia,Denar,1.18,8.27,6.28,2.4761,1600.19,81.26,Yuan Renminbi,Euro
Russia,Ruble,3.63,17.67,17.55,0.5522,9819.75,5.62,Baht,Lempira
Northern Mariana Islands,Dollar,3.0,1.1,2.96,2.3595,860.87,27.15,Peso,Yuan Renminbi
China,Yuan Renminbi,3.61,22.4,0.18,4.5504,4464.93,96.96,Yuan Renminbi,Krona
Nigeria,Naira,0.98,8.61,16.13,5.034,7589.22,22.39,Yuan Renminbi,Real
Mexico,Peso,3.88,7.74,1.87,4.9483,1574.27,16.59,Euro,Peso
Ukraine,Hryvnia,2.03,1.28,1.41,4.2643,625.09,71.88,Yuan Renminbi,Koruna
Indonesia,Rupiah,3.44,27.78,13.9,9.4127,9882.38,93.09,Yuan Renminbi,Yuan Renminbi
Russia,Ruble,1.69,3.98,6.25,3.8685,1615.06,60.58,Zloty,Hryvnia
China,Yuan Renminbi,8.35,27.18,19.91,7.0224,8602.84,95.08,Peso,Guarani
China,Yuan Renminbi,-8.78,26.44,3.24,6.9406,9731.04,81.84,Yuan Renminbi,Rupiah
Indonesia,Rupiah,-8.63,28.14,9.17,5.5854,8430.06,1.85,Franc,Euro
China,Yuan Renminbi,8.5,21.58,0.03,8.7295,6519.94,8.84,Yen,Rupee
China,Yuan Renminbi,6.92,9.16,19.99,4.2953,1936.85,82.21,Peso,Franc
Philippines,Peso,-4.83,26.49,9.44,0.8516,8094.43,93.87,Ruble,Euro
China,Yuan Renminbi,1.3,0.49,18.2,4.4778,2647.2,92.87,Euro,Yen
Greece,Euro,-6.59,26.36,0.61,4.2342,7929.5,52.44,Sol,Rupiah
China,Yuan Renminbi,6.13,0.88,16.6,7.1435,8925.97,62.09,Yuan Renminbi,Real
Thailand,Baht,-1.71,22.52,14.75,5.2029,7360.03,73.59,Dollar,Yuan Renminbi
Colombia,Peso,0.4,5.76,17.69,6.7609,5042.93,13.86,Yuan Renminbi,Naira
Sweden,Krona,-5.31,14.53,16.25,9.9812,6347.23,92.47,Zloty,Sol
Japan,Yen,-6.83,27.99,13.61,0.4514,3388.51,21.45,Real,Real
Peru,Sol,-6.76,12.26,4.87,4.7553,2177.6,65.04,Kyat,Rupiah
China,Yuan Renminbi,9.83,15.63,3.92,4.6474,6689.85,87.81,Yuan Renminbi,Pound
Canada,Dollar,-7.47,23.48,0.37,6.7905,6488.89,52.21,Rupiah,Yuan Renminbi
China,Yuan Renminbi,8.48,16.01,6.97,4.3738,2846.36,59.16,Zloty,Ruble
China,Yuan Renminbi,9.19,17.9,17.89,8.207,3872.14,72.04,Yuan Renminbi,Ruble
China,Yuan Renminbi,-4.49,17.07,3.6,7.6033,5537.3,82.97,Yuan Renminbi,Shilling
China,Yuan Renminbi,-4.11,19.04,6.85,1.7726,7338.9,31.96,Euro,Yuan Renminbi
China,Yuan Renminbi,-0.19,8.2,3.23,7.6456,8793.3,26.6,Yuan Renminbi,Som
China,Yuan Renminbi,-3.03,2.86,15.66,3.753,7546.92,11.26,Dinar,Baht
Palestinian Territory,Shekel,9.85,26.15,9.11,2.992,4391.55,41.78,Peso,Yuan Renminbi
China,Yuan Renminbi,-8.78,25.17,17.03,8.5321,5827.99,15.73,Yuan Renminbi,Dollar
China,Yuan Renminbi,3.06,1.09,19.28,1.7557,2433.25,82.89,Lari,Yuan Renminbi
Indonesia,Rupiah,0.41,7.15,15.78,8.7673,7060.24,77.14,Yuan Renminbi,Ariary
Albania,Lek,-2.04,22.51,11.49,6.1222,8788.95,99.92,Krona,Shilling
Mauritania,Ouguiya,3.19,2.59,2.1,8.9373,6882.03,62.3,Lek,Krona
Kenya,Shilling,-3.34,12.51,0.4,6.329,6680.78,29.79,Krona,Euro
Czech Republic,Koruna,0.41,14.74,18.3,8.5954,186.58,40.61,Peso,Peso
Russia,Ruble,-5.45,28.1,9.53,2.1189,1202.71,59.35,Lempira,Dinar
Canada,Dollar,-8.61,1.56,15.45,5.1042,1040.01,46.4,Lek,Yuan Renminbi
Indonesia,Rupiah,3.05,19.69,6.47,5.5636,1571.87,32.21,Riels,Rial
Mongolia,Tugrik,3.6,11.56,10.37,8.0738,7580.32,95.9,Yen,Ruble
France,Euro,-0.32,15.38,13.78,1.1579,2516.69,11.49,Yuan Renminbi,Rupiah
Canada,Dollar,-8.87,2.66,6.68,7.5677,5694.15,46.05,Yuan Renminbi,Zloty
Russia,Ruble,-6.27,28.67,5.39,4.054,5507.79,76.55,Lev,Euro
Philippines,Peso,-9.76,26.25,13.83,1.8105,8470.0,97.81,Yuan Renminbi,Dirham
China,Yuan Renminbi,-5.55,27.03,7.78,9.2775,8526.43,20.92,Koruna,Shilling
Indonesia,Rupiah,8.39,22.61,15.26,7.1762,498.23,32.09,Yuan Renminbi,Yuan Renminbi
Palestinian Territory,Shekel,5.58,4.2,15.9,0.0464,9842.85,71.83,Dong,Yuan Renminbi
Brazil,Real,-9.89,29.47,1.75,1.5729,7578.85,67.59,Peso,Euro
Costa Rica,Colon,5.37,8.02,12.19,9.3263,3248.22,69.94,Rupiah,Peso
China,Yuan Renminbi,-9.44,25.32,0.92,7.0244,1904.15,11.56,Yuan Renminbi,Quetzal
Tunisia,Dinar,2.17,26.8,10.11,4.5428,177.26,91.0,Somoni,Yuan Renminbi
China,Yuan Renminbi,-1.52,9.69,10.44,0.4736,3910.43,41.21,Yuan Renminbi,Dollar
Russia,Ruble,4.23,11.19,0.99,6.9456,9362.15,5.82,Peso,Guarani
United States,Dollar,5.46,2.15,17.35,8.5179,7835.85,10.22,Rupiah,Zloty
Poland,Zloty,-0.18,14.38,19.8,7.2321,3974.85,58.91,Yuan Renminbi,Euro
Russia,Ruble,-0.44,8.53,3.6,1.4181,5210.86,76.7,Rupiah,Euro
China,Yuan Renminbi,3.47,12.45,11.53,2.2978,2911.28,79.34,Koruna,Peso
Philippines,Peso,-8.51,22.26,4.06,0.9834,904.99,25.97,Rupiah,Rupiah
Indonesia,Rupiah,-6.15,6.59,0.01,0.2067,6100.71,61.24,Rupiah,Naira
Nigeria,Naira,9.03,25.61,14.44,6.6134,4086.24,62.3,Yuan Renminbi,Ruble
Cuba,Peso,-8.45,18.42,5.96,8.0959,2899.9,60.62,Euro,Yuan Renminbi
Indonesia,Rupiah,4.54,15.11,18.5,7.7291,614.5,51.73,Dollar,Peso
Argentina,Peso,-9.83,19.95,3.13,7.1859,5505.32,76.76,Euro,Euro
Denmark,Krone,7.13,9.21,15.45,2.3207,7979.21,23.63,Yuan Renminbi,Real
Brazil,Real,-6.1,18.34,2.31,7.8508,9303.14,8.49,Dollar,Yuan Renminbi
Indonesia,Rupiah,-7.81,10.99,5.16,5.359,955.5,0.53,Euro,Peso
Russia,Ruble,-4.3,25.29,0.02,2.1761,1961.4,57.66,Yuan Renminbi,Boliviano
Czech Republic,Koruna,-2.97,20.35,12.19,4.0315,9618.52,87.43,Rial,Yen
China,Yuan Renminbi,9.94,28.81,13.38,3.8886,2399.25,68.04,Euro,Euro
Sweden,Krona,9.33,28.7,5.3,2.3063,8197.85,26.41,Leu,Zloty
Ukraine,Hryvnia,8.6,14.83,9.38,2.4695,5484.76,1.45,Yuan Renminbi,Krona
Portugal,Euro,1.72,17.2,8.02,5.865,1352.82,71.6,Dollar,Yuan Renminbi
Russia,Ruble,5.39,8.36,15.05,0.2475,6586.59,70.99,Boliviano,Rupee
Philippines,Peso,2.83,0.44,8.17,7.3229,6925.84,1.17,Peso,Euro
China,Yuan Renminbi,-5.76,10.02,2.44,4.2706,176.3,36.59,Dinar,Koruna
United States,Dollar,8.79,26.46,18.09,9.3924,6130.49,69.43,Peso,Yuan Renminbi
Kazakhstan,Tenge,8.09,18.81,19.96,0.4337,9285.03,49.4,Ruble,Ruble
Brazil,Real,2.24,11.17,4.03,1.2621,4437.41,13.59,Yuan Renminbi,Rupee
Sweden,Krona,-8.12,7.32,3.2,4.7894,6007.74,83.39,Dollar,Real
Georgia,Lari,9.41,7.32,12.22,1.2806,897.93,15.04,Ruble,Peso
Zimbabwe,Dollar,4.64,1.25,9.42,8.0585,8812.11,26.74,Yuan Renminbi,Dollar
United States,Dollar,-3.43,12.12,17.4,2.1488,4589.26,20.64,Peso,Yuan Renminbi
Philippines,Peso,-4.88,2.58,1.11,8.9022,5590.44,44.13,Yuan Renminbi,Shilling
Canada,Dollar,1.71,13.33,8.44,3.1017,9897.98,64.67,Peso,Pound
Pakistan,Rupee,-4.66,19.45,6.22,8.5648,6782.73,88.33,Rupiah,Euro
Malaysia,Ringgit,-6.9,21.9,7.51,5.4974,3036.44,49.0,Cordoba,Rupiah
Peru,Sol,-7.37,21.08,13.09,8.4907,4325.76,89.38,Yuan Renminbi,Ruble
Peru,Sol,-4.74,24.28,15.31,5.6708,5171.95,57.22,Euro,Rupiah
Brazil,Real,-7.2,3.07,0.61,4.7427,3656.94,68.28,Yen,Euro
China,Yuan Renminbi,-6.79,2.69,4.17,6.9316,334.99,21.62,Yuan Renminbi,Euro
Philippines,Peso,-8.16,22.47,17.78,9.2313,2082.93,12.63,Euro,Yuan Renminbi
Netherlands,Euro,-1.54,28.29,14.67,3.2126,6591.83,28.17,Peso,Yuan Renminbi
Brazil,Real,5.87,12.39,17.24,2.3806,5689.99,2.93,Yuan Renminbi,Euro
China,Yuan Renminbi,7.66,18.38,16.89,5.5269,8485.79,49.8,Rupiah,Euro
Finland,Euro,-4.36,22.88,12.03,9.5995,6389.08,35.38,Koruna,Rial
Finland,Euro,4.12,0.77,17.53,0.386,3825.58,78.78,Zloty,Yuan Renminbi
Russia,Ruble,-5.07,19.07,7.58,7.7839,3996.93,23.36,Ruble,Kuna
China,Yuan Renminbi,-1.25,12.8,8.01,7.3955,526.35,99.77,Rupiah,Euro
Indonesia,Rupiah,4.17,14.89,10.11,2.6003,7550.38,2.79,Koruna,Peso
Estonia,Euro,-5.97,20.22,13.14,3.3484,9763.95,46.71,Krone,Yuan Renminbi
Argentina,Peso,-3.26,19.33,0.63,6.1843,7598.94,70.53,Euro,Dollar
Sweden,Krona,7.0,12.96,3.11,8.8952,5649.85,14.71,Rupiah,Hryvnia
Indonesia,Rupiah,8.84,15.94,5.04,1.6851,3373.86,75.85,Rupiah,Euro
China,Yuan Renminbi,-8.61,10.17,6.02,1.9294,2496.86,60.24,Real,Peso
China,Yuan Renminbi,3.91,0.69,15.82,7.2487,5912.19,46.53,Peso,Rupiah
Poland,Zloty,1.31,13.04,5.29,0.7057,3324.01,26.49,Yuan Renminbi,Afghani
Russia,Ruble,7.22,22.05,18.95,7.4316,7106.52,43.69,Franc,Euro
China,Yuan Renminbi,-5.17,0.64,9.63,0.4256,3880.25,86.16,Real,Hryvnia
Indonesia,Rupiah,-4.83,22.45,8.57,1.2517,9534.57,5.51,Yuan Renminbi,Kyat
Tunisia,Dinar,3.93,27.86,6.49,9.1901,359.95,81.19,Zloty,Yuan Renminbi
Mauritius,Rupee,-0.04,27.24,2.94,6.8671,8446.37,54.61,Yuan Renminbi,Ruble
Cameroon,Franc,3.7,7.51,3.42,7.0206,2454.6,61.22,Sol,Krona
Indonesia,Rupiah,7.75,19.04,14.92,0.82,5497.67,73.85,Euro,Yuan Renminbi
Botswana,Pula,-1.69,17.19,19.14,7.7653,1738.04,49.45,Euro,Real
Belarus,Ruble,9.42,3.94,9.8,0.052,4372.83,52.07,Real,Baht
Tajikistan,Somoni,-8.99,8.46,16.87,7.1445,5548.09,57.06,Yuan Renminbi,Ruble
Slovenia,Euro,2.16,12.21,15.67,7.9604,1559.19,81.22,Rupiah,Zloty
Indonesia,Rupiah,-8.39,26.39,4.58,7.9803,5702.49,88.46,Koruna,Euro
Russia,Ruble,7.21,2.66,3.91,6.4985,5867.65,99.21,Zloty,Rupiah
Austria,Euro,-9.3,28.61,5.25,6.4409,2500.22,27.93,Ruble,Rupiah
South Korea,Won,2.28,24.91,2.08,9.2123,115.18,0.62,Rial,Yuan Renminbi
Poland,Zloty,6.63,22.65,18.6,3.9895,2384.99,19.11,Peso,Euro
Mexico,Peso,-7.38,29.44,11.81,3.8223,8425.31,71.28,Yuan Renminbi,Zloty
China,Yuan Renminbi,-6.22,29.96,5.34,4.5969,2906.5,41.34,Rupiah,Ruble
Indonesia,Rupiah,-0.68,11.3,0.33,3.7805,3885.73,48.2,Ruble,Baht
Cyprus,Euro,1.13,2.26,11.53,5.5381,2442.92,46.75,Rupiah,Yuan Renminbi
Honduras,Lempira,3.67,2.27,8.37,9.5685,9958.23,64.61,Real,Rupiah
Poland,Zloty,-2.9,27.84,13.07,5.3631,8109.93,88.4,Kuna,Zloty
Kenya,Shilling,2.36,4.67,6.64,4.0228,954.99,19.27,Rupiah,Ruble
Poland,Zloty,1.53,9.9,5.03,0.5511,1936.52,4.82,Euro,Yen
China,Yuan Renminbi,-3.43,28.23,14.22,6.0822,9159.04,75.62,Yuan Renminbi,Rupiah
Madagascar,Ariary,6.56,10.92,7.05,4.3039,5209.29,52.23,Euro,Ruble
Sweden,Krona,-4.29,0.73,4.02,7.5458,7512.23,8.14,Koruna,Yuan Renminbi
China,Yuan Renminbi,2.96,7.29,3.08,3.3563,8323.39,21.57,Koruna,Zloty
United States,Dollar,2.0,11.21,4.26,1.7181,3734.24,27.05,Pound,Cedi
China,Yuan Renminbi,-9.97,8.27,3.09,2.942,7509.02,52.28,Yuan Renminbi,Euro
Peru,Sol,-9.47,0.06,11.81,0.374,6328.94,62.71,Koruna,Rupiah
China,Yuan Renminbi,8.87,3.62,12.96,3.033,9531.97,59.81,Rupee,Yen
France,Euro,5.87,25.83,18.29,3.6013,7774.31,4.94,Yuan Renminbi,Taka
Peru,Sol,5.29,15.4,19.21,1.5033,1557.67,72.44,Peso,Ruble
Indonesia,Rupiah,6.34,3.0,18.43,2.9435,837.14,61.9,Euro,Yuan Renminbi
China,Yuan Renminbi,-3.94,19.58,2.53,3.0879,9119.7,71.8,Ruble,Rupiah
Russia,Ruble,-0.22,10.41,14.48,1.9246,4864.44,88.66,Euro,Euro
China,Yuan Renminbi,0.48,20.68,11.36,3.3812,7955.43,82.26,Dinar,Dong
Philippines,Peso,1.67,29.06,2.46,8.5141,7501.26,81.14,Dollar,Peso
Philippines,Peso,-3.11,19.41,3.9,2.7173,9177.48,75.54,Ringgit,Dollar
China,Yuan Renminbi,-0.53,24.01,9.96,8.7192,4847.68,52.99,Peso,Dollar
Brazil,Real,7.53,7.54,15.39,2.4501,8665.37,62.36,Yuan Renminbi,Yuan Renminbi
Japan,Yen,3.29,29.89,3.98,3.8286,1305.03,63.28,Peso,Euro
France,Euro,-6.65,2.37,6.25,0.4477,1141.32,62.69,Yuan Renminbi,Franc
Brazil,Real,8.55,4.87,6.06,4.4922,7691.67,88.34,Yuan Renminbi,Euro
Pakistan,Rupee,-0.93,26.37,0.56,6.8704,7425.77,85.76,Real,Euro
China,Yuan Renminbi,-5.32,1.58,10.27,7.8406,4012.74,42.68,Won,Yuan Renminbi
France,Euro,-4.29,22.88,17.69,1.8391,7290.29,69.71,Krona,Yuan Renminbi
Yemen,Rial,0.11,11.73,11.41,5.6102,5016.32,59.9,Yuan Renminbi,Yuan Renminbi
Pakistan,Rupee,5.03,9.65,1.1,9.7476,599.25,35.52,Real,Ruble
Serbia,Dinar,2.98,18.35,9.86,7.2669,5201.89,29.83,Rupiah,Ruble
Bosnia and Herzegovina,Marka,1.26,16.74,0.68,0.1313,8433.96,11.98,Krona,Rupiah
Philippines,Peso,-7.38,20.85,16.96,8.0965,9100.15,33.37,Rupiah,Hryvnia
Ukraine,Hryvnia,-2.19,23.14,2.78,1.7713,9730.5,63.88,Yuan Renminbi,Real
Indonesia,Rupiah,5.91,11.66,6.17,2.1158,4587.57,10.78,Rupiah,Yuan Renminbi
China,Yuan Renminbi,-8.0,8.86,14.48,9.6162,249.04,25.11,Rupiah,Hryvnia
Greece,Euro,-2.89,1.18,3.09,8.2284,52.43,28.7,Tenge,Yuan Renminbi
Kyrgyzstan,Som,-4.28,19.69,14.32,8.2635,5434.8,99.52,Shekel,Rupiah
Indonesia,Rupiah,-0.32,5.84,14.35,5.3274,2603.2,12.22,Euro,Ruble
China,Yuan Renminbi,-5.1,12.6,0.67,1.9697,2830.56,32.62,Peso,Baht
France,Euro,-4.93,2.79,11.16,7.2268,8901.16,86.88,Yuan Renminbi,Rupiah
Russia,Ruble,-9.79,10.56,17.18,3.7792,3599.31,81.99,Peso,Real
Brazil,Real,-5.62,29.21,1.46,0.884,1349.12,0.7,Sol,Yuan Renminbi
Indonesia,Rupiah,-0.25,18.71,2.16,5.8754,7324.52,25.06,Euro,Dollar
Colombia,Peso,-5.17,21.29,5.63,1.5334,7534.87,37.29,Ruble,Rupiah
Benin,Franc,-6.51,7.74,6.33,0.9903,9730.63,1.88,Peso,Rupiah
Slovenia,Euro,3.51,20.39,11.54,1.1353,2487.97,98.0,Rial,Baht
United Kingdom,Pound,-3.65,24.71,10.26,7.4014,1580.44,74.53,Dollar,Rial
Japan,Yen,-5.98,25.55,17.75,6.843,9872.76,96.37,Yuan Renminbi,Ruble
China,Yuan Renminbi,6.11,29.46,7.77,7.3983,53.79,11.0,Euro,Euro
Cuba,Peso,-9.29,23.72,1.48,8.558,3577.98,54.42,Real,Rupiah
Finland,Euro,-7.57,28.84,5.37,3.657,9811.67,86.22,Rand,Shilling
Indonesia,Rupiah,-0.12,23.18,17.92,3.0195,8186.19,63.3,Yuan Renminbi,Peso
Indonesia,Rupiah,-8.82,9.16,13.25,8.3939,173.91,42.52,Peso,Rupiah
Philippines,Peso,-8.03,15.37,14.19,5.7249,1088.42,29.11,Euro,Yuan Renminbi
Croatia,Kuna,7.76,7.09,15.25,9.4233,2691.13,27.36,Yuan Renminbi,Real
Poland,Zloty,-7.74,7.85,10.42,9.975,563.08,95.52,Krona,Dirham
China,Yuan Renminbi,4.56,28.02,16.13,5.7418,5456.57,56.68,Rupiah,Euro
Nepal,Rupee,-7.91,7.45,16.99,5.5924,938.56,16.95,Hryvnia,Dinar
Dominican Republic,Peso,-3.88,24.58,8.57,5.7057,8619.3,7.12,Euro,Real
